物料编码;零部件编号;零部件名称;图纸编号/图纸备注;材料/规格;单位;数量;采购类别;VENDOR;标准质保（类别）;海外标准质保要求;标准质保;海外协议签署情况;通则签署情况;供应商质保;标准质保差;质保需求;质保差;故障率;工时;成本价;售后成本;标准质保差;标准质保为1年的延保材料费;标准质保为1年的延保工时费;标准质保为2年的延保材料费;标准质保为2年的延保工时费;标准质保为5年的延保材料费;标准质保为5年的延保工时费;延保换件材料费;延保换件工时费;类别;备注;Vendor Description;P/N(供应商零部件编号);第二供应商信息;Second Vendor Description;SORT;Assembly Station(装配位置);Remark(备注);Remark English Description;New developed part(是否为新开发件);Technical state confirmation(技术状态确定);Section(科室);部门
12957348-00;BYDQ8071216-3T51;可调向卡套端直角;;;;2;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12957413-00;BYDQ8040812-3T51F;卡套端直通;;;;7;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12962614-00;BMK9NA-3792980;鼓风机开关;;;;;;慈溪市腾辉汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12964681-00;BYDQ8991218T51F;135度弯通接头;;;;8;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12966951-00;K9FE-3509335A;K9FE-3509335A_PT100温度传感器_M00000;;;;;;耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12966958-00;K9DA-2301132;K9DA-2301132_前桥主销RL82_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12966959-00;K9DA-2301112;K9DA-2301112_前轮毂_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12966964-00;K9UB-3501130;K9UB-3501130_制动衬片总成_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12966965-00;K9DA-3501113;制动器调节套件;;;;;;采埃孚传动技术(苏州)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12968285-00;BYDQ4490617F32;BYDQ4490616F39_结构型沉头盲拉铆钉;;;;14;;无锡市三星铆钉厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12968489-00;BYDQ4480614F39;结构型平圆头盲拉铆钉;;;;18;;无锡三星、上海飞可斯铆钉有限公司/南通洛克紧固件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12968904-00;BYDQ873120622-2T51F;卡套可调向端直角三通;;;;4;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12969924-00;BYDQ258A0425T30FQP0.7;内六角花形沉头螺钉;;;;4;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12969927-00;Q215B0430T30FQP0.7;Q215B0430T30FQP0.7_内六角花形盘头螺钉_M4;;;;3;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12969928-00;Q215B0425T30FQP0.7;内六角花形盘头螺钉;;;;2;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12969939-00;Q210B0830T1F61QP1.25;内六角花形圆柱头螺钉;;;;6;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12969943-00;Q2580830T30FQP1.25;内六角花形沉头螺钉;;;;2;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12969945-00;Q210B0840T30FQP1.25;内六角花形圆柱头螺钉;;;;9;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12970236-00;Q2580640T30FQP1;内六角花形沉头螺钉;;;;;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12970879-00;Q215B0840T1F62QP1.25;内六角花形盘头螺钉;;;;4;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12973241-00;/;自制配件_BIC-B240A00-ZT00_采集器_M00666;;;;;;青海弗迪电池有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12974254-00;K11M-2301115;轮端紧固连接件;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12982804-00;BMK9UD-2813110D;挡泥板总成110;;;;;;河北东正机动车零部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12985342-00;BMK9UD-5302212;前围蒙皮本体右中段;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12985344-00;BMK9UD-5302211;前围蒙皮本体左中段;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12985345-00;BMK9UD-5602311;BMK9UD-5602311_后围蒙皮本体右下段_M00000;;;;;;佛山市顺德区鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12985357-00;BMK9UD-5302120;前围蒙皮本体上段总成;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12985390-00;BMK9UD-5602211;BMK9UD-5602211_后围蒙皮本体左下段_M00000;;;;;;佛山市顺德区鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12986730-00;TKC-1108100A;TKC-1108100A_电子油门踏板线束_M00000;;;;;;威廉姆斯（苏州）控制系统有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12989145-00;BMK9UD-5712140;顶装饰罩本体总成4;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12989152-00;BMK9UD-5402370;左侧围蒙皮本体总成1;;;;;;江苏正威新材料股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12989250-00;K9-3794340;红色指示灯;;;;;;十五部气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12989251-00;K9-3794350;K9-3794350_黄色指示灯_M00000;;;;;;十五部深圳气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12989252-00;K9-3794360;红色全关按钮;;;;;;;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12990878-00;BMK9UD-5602160;后围蒙皮中段本体总成;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12990892-00;BMK9UD-8402100A;前舱盖本体总成;;;;;;华缘新材料股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12992145-00;B10C02-2101110A;动力电池包1;;;;;;青海弗迪电池有限公司;电池(Power Battery);;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12995371-00;B12C01-7109511;座椅侧挂装饰罩左封头;;;;3;;泰州市华发新型建材厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12995404-00;B12C01-7109512;座椅侧挂装饰罩右封头;;;;3;;泰州市华发新型建材厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12998434-00;TKC-6206141;六连杆铰链左;;;;;;宁波丞展汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12998435-00;TKC-6206142;六连杆铰链右;;;;;;宁波丞展汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12999588-00;K9UD-2303113;横拉杆开槽卡;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13000930-00;K7M-2307112;K7M-2307112_横拉杆开口固定卡_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13001765-00;BMK9UD-5702371B;风道衬板371;;;;;;镇江长江汽车内饰件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13006586-00;BMK9UD-3506110C;气压制动软管总成;;;;;;珠海特专汽车设备有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13006589-00;BMK9UD-3506110E;气压制动软管总成;;;;;;珠海特专汽车设备有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13007716-00;K9UD-2301113;K9UD-2301113_前桥车轮连接件_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13023847-00;BYDQ8632222-3T51F;卡套双端管接头;;;;1;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13024757-00;BMK9UD-5402410;左侧围蒙皮本体总成4;;;;;;江苏正威新材料股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13025180-00;BMK9UD-4019300;蓄电池串联线束;;;;;;第十五事业部线束深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13028137-00;TKC-6205125;TKC-6205125_拉环锁_M00000;;;;;;索斯科锁定系统（上海）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13029233-00;BMK9UB-2813515AH;环形拖钩;;;;;;厦门市协晟工贸有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13029504-00;Q215B0820T1F62P1.25;内六角花形盘头螺钉;;;;8;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13029505-00;Q27B4225T30F;内六角花形沉头自攻螺钉;;;;;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13029516-00;Q2580820T30FP1.25;内六角花形沉头螺钉;;;;2;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13030614-00;BMK9UD-1300010;散热器带电子风扇总成;;;;;;泰安鲁美汽车散热器有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13033785-00;BMK11U-3794240;BMK11U-3794240_普通下客按钮2_M00000;;;;;;EU TURCK/ 图尔克（天津）科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13035273-00;TKC-4023410;轮包防护胶套;;;;4;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
13036015-00;BMK9UD-2101310A;动力连接线1;;;;;;第十四部长沙电动汽车研究所;power control;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13037204-00;BMK9UD-3722030;后舱配电盒总成;;;;;;郑州森鹏电子技术有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13037963-00;K9FE-3509311A;K9FE-3509311A_空压机组合垫圈_M00000;;;;;;耐力股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13042118-00;TKC-1315010K;TKC-1315010K_电动水泵总成_M00000;;;;;;河北深海电器有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13047418-00;Q151B1845TF61KP1.5;六角头螺栓;;;;;;玉环东风汽车配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13047775-00;BMK9UD-2911010F;后悬架总成;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13049376-00;K9FE-3509311B;K9FE-3509311B_空压机组合垫圈_M00000;;;;;;耐力股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13051043-00;K11M-2301126;K11M-2301126_前轮毂端盖固定件_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13051044-00;K11M-2301132;前桥主销总成;;;;;;采埃孚传动技术(苏州)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13051924-00;BMK9UD-2916010B;BMK9UD-2916010B_后横向稳定杆总成_M00000;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13052126-00;BMK9UD-1316411;管路转接头;;;;;;天津市鹤鼎工贸有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13056124-00;BMK9UD-3406200D;转向回油管总成;;;;;;河北三丰橡塑制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13056126-00;BMK9UD-3406300D;转向油泵进油软管总成;;;;;;河北三丰橡塑制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13058174-00;K11U-3414101E;联动固定底座Ⅰ;;;;;;第十五事业部气囊深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13066635-00;B66C01-7911110;扬声器面罩;;;;;;曲阜天博汽车电器有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13069699-00;B15E01-8225211;衣架;;;;;;丹阳市长江汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13070463-00;TKC-8125411;液冷快插接头;;;;2;;湖北欧博汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13075590-00;空压机油;空压机油;;;;;;耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13097386-00;BMD8UR-3795850;BMD8UR-3795850_前挡风玻璃加热开关_M00666;;;;;;十五部西安电器厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13097788-00;BMK9NA-3792730;BMK9NA-3792730_司机吹面吹脚开关_M00000;;;;;;慈溪市腾辉汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13098968-00;B12E01-3509010;B12E01-3509010_空气压缩机总成_M00000;;;;;;河北耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13100870-00;BMK9UB-5205311K;大功率雨刮控制器;;;;1;;广东东兴客车配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13101236-00;K9FE-35096210;空压机电机油封;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
13102576-00;SL-282080;护套尾夹;;;;7;;第十五事业部线束深圳工厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13103558-00;Q210B0870T30FQP1.25;内六角花形圆柱头螺钉;;;;7;;浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13108148-00;LXC-02-613;铝型材_LXC-02-613_6000mm;;;;;;泰州市华发新型建材厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13109420-00;K11M-2301137;K11M-2301137_前桥孔用挡环_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13111185-00;TKC-4133060;组合后灯;;;;2;;上海开腾信号设备有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13119376-00;K9A-3501311A;K9A-3501311A_ 制动气室连接件_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13120215-00;BMK9UE-3926100;三角警告牌;;;;2;;慈溪市仕博汽车零部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13123875-00;TKC-4015113;车用管线过孔密封垫;;;;1;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13123876-00;TKC-4015113A;TKC-4015113A_车用管线过孔密封垫_M00000;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13123877-00;TKC-4015113B;车用管线过孔密封垫;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13123878-00;TKC-4023110;线束过孔胶套;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13123881-00;TKC-4015113C;车用管线过孔密封垫;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13127672-00;Q218B0616T30FQP1;内六角圆柱头螺钉;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13128455-00;B12E01-2105423;3#电池串联高压电缆;;;;;;第十四事业部长沙电动汽车研究所;电池(Power Battery);;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13135866-00;K9-3797031;室内灯开关;;;;;;上海音沙汰实业发展有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13143343-00;B15E01-3411210;转向器支架总成;;;;;;上海扬通钢铁有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13144041-00;TKC-8125214;电池冷却软管4;;;;2;;上海新上橡汽车胶管有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
13144042-00;TKC-8125213;电池冷却软管3;;;;;;上海新上橡汽车胶管有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13147548-00;BMK9UB-3730020A;蓄电池外接电源接头;;;;;;积架宝威汽车配件(深圳)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13155059-00;TKC-8125412;液冷快插接头2;;;;;;湖北欧博汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
13163271-00;K11U-3774010C;K11U-3774010C_组合开关_M00000;;;;;;十五部深圳气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13165982-00;K7M-2307110;K7M-2307110_中横拉杆总成_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13167894-00;K11U-3774010A;K11U-3774011_组合开关安装座组件_M00666;;;;;;十五部深圳气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13187794-00;D9UB-2909113C;转向过渡臂安装座-左;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13187795-00;D9UB-2909113D;转向过渡臂安装座-右;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13200248-00;Q27A4216F61;内六角花形盘头自攻螺钉;;;;56;;上海上标集团紧固件有限公司/浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13200249-00;Q2580830T1F62QKP1.25;内六角花形沉头螺钉;;;;2;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司/浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13200271-00;Q2580850T1F62QKP1.25;内六角花形沉头螺钉;;;;4;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司/浙江瑞利动力科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13206496-00;BMK9UB-5308420AU;零钱盒装饰件;;;;;;山东双一科技股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13206687-00;MFT-589;塑胶条;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13209599-00;D8UR-2302145;D8UR-2302145_右轮速传感器_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13209600-00;D8UR-2301145;D8UR-2301145_左轮速传感器_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13211642-00;B15E01-7970410A;车载电脑支架总成;;;;;;电动客车工厂/第十九事业部;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13216718-00;Φ54.6×φ48.5;波纹管;;;;4;;十五部深圳线束厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13219186-00;B85C02-2011458;压力传感器;;;;;;深圳安培龙科技股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电系统;;;;;;;
13219485-00;BMK7M-3736010A;电源总开关;;;;1;;浙江正泰汽车科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13220188-00;;保险丝_EV325-3ELC_750V_40A;;;;;;长沙市比亚迪汽车有限公司_十四部_长沙电动汽车研究所;;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电系统;;;;;;;
13228758-00;BMK9UB-7903500F;车载收音机天线;;;;1;;El-cab;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13236978-00;TKC-3703170F;蓄电池托盘总成;;;;;;丹阳市长江汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13240116-00;2000×1000×2mm;海绵;;;;0,05;;镇江长江汽车内饰件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13243559-00;K9KA-1308112;K9KA-1308112_减震轮_M00000;;;;;;泰安鲁美汽车散热器有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13265351-00;K9UD-3501300;K9UD-3501300_前制动气室总成_M00666;;;;;;采埃孚销售服务（中国）有限公司;动力系统;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13265669-00;TKC-2102110;维修开关手柄上总成;;;;;;青海弗迪电池有限公司;power control;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
13284547-00;BMK9UD-3923200A;比亚迪LOGO总成;;;;;;南京华世立汽车零部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13285392-00;BMK9UD-3414050;管柱护罩总成;;;;1;;余姚市万国机械有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13287952-00;K8S-2906221A;前横向稳定杆锁紧件;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13294037-00;BMK9UD-5712110E;顶装饰罩本体总成1;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13294039-00;BMK9UD-5712120E;顶装饰罩本体总成2;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13294040-00;BMK9UD-5712130E;顶装饰罩本体总成3;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13294042-00;BMK9UD-5712140E;顶装饰罩本体总成4;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13294043-00;BMK9UD-5712180E;顶装饰罩本体总成8;;;;;;鸡洲德兴塑料制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13296872-00;BMK9UD-5124113A;地板压条113;;;;;;泰州市华发新型建材厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13296873-00;BMK9UD-5124112A;地板压条112;;;;;;泰州市华发新型建材厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
